"Strings";"en";"de";"fr";"Notes"
;;;;
"//Basic texts //";;;;
"general_button_start";"Start";"Start";"Débuter";
"general_button_continue";"Continue";"Weiter";"Suite";
"general_text_difficulty_level";"Difficulty Level";"Schwierigkeit";"Difficulté";
"general_text_lesson";"Lesson";"Lektion";"Leçon";
"general_text_question";"Question";"Frage";"Question";
"general_text_knowledge_quotient";"Knowledge Quotient";"Wissensquotient";"Quotient de connaissances";
;;;;
"//Splash screen //";;;;
"splash_screen_text_strap_line";"Increase your knowledge
Sharpen your mind";"Increase your knowledge.
Sharpen your mind.";"Increase your knowledge.
Sharpen your mind.";"New"
;;;;
"//Main menu //";;;;
"main_menu_button_improve_knowledge";"Improve Knowledge";"Wissen verbessern";"Entraîner le savoir";
"main_menu_button_options";"Options";"Options";"Optionen";
"main_menu_button_other_games";"Other Games";"Andere Spiele";"Autres jeux";
"main_menu_button_start_game";"Start Game";"Spielstart";"Commencer le jeu";
"main_menu_button_statistics";"Statistics & KQ";"Statistik & WQ";"Statistiques & KQ";
"main_menu_button_start_game_repeat";"Play repeat questions";"Play repeat questions";"Play repeat questions";"New"
"main_menu_button_start_game_free_lesson";"Play free daily lesson";"Play free daily lesson";"Play free daily lesson";"New"
;;;;
"//Improve Knowledge screen //";;;;
"improve_knowledge_text_questions_answered_wrong";"questions
answered wrong";"Fragen
falsch beantwortet";"Réponses
incorrectes";
"improve_knowledge_text_1_question_answered_wrong";"1 question
answered wrong";"1 Frage
falsch beantwortet";"Une réponse
incorrecte";
"improve_knowledge_text_all_answered_correctly_old";"All questions
answered correctly!";"Alle Fragen
richtig beantwortet!";"Toutes les questions sont
répondues correctement!";
;;;;
"//Improve Knowledge question results screen //";;;;
"improve_knowledge_question_result_remaining_questions";"There are still {0} incorrectly answered questions in this category.";"Noch {0} falsch beantwortete Fragen in Wissensbereich %@ verbleibend.";"Il y a toujours {0} réponses incorrectes dans cette catégorie.";
"improve_knowledge_question_result_1_remaining_question";"There is still one incorrectly answered question in this category.";"Noch eine falsch beantwortete Frage in Wissensbereich %@ verbleibend.";"Il y a toujours une réponse incorrecte dans cette catégorie.";
